 First shell collisions
           2           1  2.793000000000000E-011
           3           2  4.845000000000000E-011
           3           1  2.969000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           2           1  2.793000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           2  4.845000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
           3           1  2.969000000000000E-011
